sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
0314148ed0df2b35602d7531f70b5f085945dfe1b52cfc56e68d6aab3f8cb5f4,资料,cn.okmwdsaa,936EACBE07F201DF,10,8,5,2,17,0,0,0,0,0,0,1,1,0,0
03177a7612828660d70920abdb87b1a7c99d87b48c18e8ff65032030f31ae0b3,WCG魔兽人皇李晓峰,cn.eceeeie.jedehelegeheb,5035DBC7,2,3,1,1,10,11,3,4,10,3,0,2,0,10,15
03208f5b359a271e6595c275dd467f6298bfcc130ef44add94512dbde43f72b2,CJ대한통운 택배 고객서비스.,ronszi7a.roiszn7z.view,936EACBE07F201DF,4,2,3,1,9,2,1,1,2,1,0,1,0,2,2
0327a679e805aa0ba476d1afa44b62c5f0ebfac348ae47aad31f4baefef9d51d,Install,net.mwkekdsf,4E23381A,1,3,0,0,4,0,0,0,0,1,0,1,0,0,0
033365e2a5fd4125e7b4c308fbfa5ebd9c0fa885dad13ee30f095038dfa17313,Download Manager,com.umeng.download0909dl,B3998086D056CFFA,9,6,3,4,24,9,2,2,4,27,0,8,0,10,9
0334d97e2be193f407a172122cfea38061b0ce0e6a35f269919c610c99633294,《本山快乐营》高清版,biz.ehecee.eeefeleeegei,50137D63,2,3,1,1,7,9,2,3,10,3,0,2,0,9,14
0338149b64a3fa54da3434bb47ca2abcf7a26360bd871f31cf6e10254159c6f2,指南针,com.waterson.compass,53E83AF8,5,4,3,1,11,3,3,3,6,21,518,15,0,4,5
0350edac8a7d41fae65654d726b4e2d9089fdcda1c0ee419e8a643ba264539bf,移动积分,fhsi.sowp.fiso.wiofsw,936EACBE07F201DF,3,1,2,1,4,0,0,0,0,0,0,1,1,0,0
0355ead821e7feceece8932503544d36a03f4e29ef92604db7f40d8366ea048d,00035_fbreaderj,gofngjvbqhl.nrhouxjbgbx,4E4C147D,3,1,2,1,18,1,1,1,2,6,8,5,0,1,1
03626018463f78e280d318d8a383528590b36c7c20cacc3789dc0b94e13cea69,特价小娇妻,com.readnovel.book_214236,4FBE0C6F,2,56,0,4,18,6,1,1,8,12,0,1,0,6,6
